算法,指标,得分
词典方法,准确率,0.564820333787466
SVM,准确率,0.762538317438692
朴素贝叶斯,准确率,0.7676898841961853
TextCNN,准确率,0.852
TextRank,准确率,0.74
词典方法,精确率,0.8152151344484693
SVM,精确率,0.7108609629906079
朴素贝叶斯,精确率,0.7497363676377635
TextCNN,精确率,0.8421302624144378
TextRank,精确率,0.6049422269930503
词典方法,召回率,0.564820333787466
SVM,召回率,0.762538317438692
朴素贝叶斯,召回率,0.7676898841961853
TextCNN,召回率,0.852
TextRank,召回率,0.74
词典方法,F1值,0.6125906514595706
SVM,F1值,0.6825939060997509
朴素贝叶斯,F1值,0.6829562208244362
TextCNN,F1值,0.8462089017035553
TextRank,F1值,0.648012929063555
